Sort	Tangraph	Unicode	LFW2008	LFW1997	Simple	Complex	Class	Rhyme	Tone	Subrhyme	Initial	Medial	Vowel	Cycle	Nasal/w	Prime	Grade	Variant	Notes
3436	𗼮	U+17F2E	L3431	L3431	dzu	2dzuq4	VI	62	2	52	dz		u	q			IV		
3437	𗐌	U+1740C	L3432	L3432	va	1va1	II	17	1	17	v		a				I		
3438	𗼗	U+17F17	L3433	L3433	den	1den4	III	43	1	42	d		e		n		IV		
3439	𗼅	U+17F05	L3434	L3434	nwy	1nwy4	III	31	1	30	n	w	y				IV		
3440	𗼍	U+17F0D	L3435	L3435	ghu	1ghu2	VIII	4	1	4	gh		u				II		
3441	𗼍	U+17F0D	L3436	L3436	sa	1sa'1	VI	22	1	22	s		a			'	I		
3442	𗼚	U+17F1A	L3437	L3437	on	2on1	VIII	56	2	47	Ø		o		n		I		
3443	𗼠	U+17F20	L3438	L3438	khwy	1khwy4	V	31	1	30	kh	w	y				IV		
3444	𗼡	U+17F21	L3439	L3439	pe	1peq4	I	64	1	61	p		e	q			IV		
3445	𗼥	U+17F25	L3440	L3440	ka	1ka1	V	17	1	17	k		a				I		
3446	𗼩	U+17F29	L3441	L3441	gha	2ghaq1	VIII	66	2	56	gh		a	q			I		
3447	𗼋	U+17F0B	L3442	L3442	dzwy	1dzwyq4	VI	72	1	69	dz	w	y	q			IV		
3448	𗼏	U+17F0F	L3443	L3443	po	1po1	I	51	1	49	p		o				I		
3449	𘉈	U+18248	L3444	L3444	dzew	2dzew1	VI	44	2	38	dz		e		w		I		
3450	𘉃	U+18243	L3445	L3445	dzu	1dzuq4	VI	62	1	59	dz		u	q			IV		
3451	𗢝	U+1789D	L3446	L3446	u	1u3	VIII	2	1	2	Ø		u				III		Grade III Ø-!
3452	𘉇	U+18247	L3447	L3447	dzew	2dzew1	VI	44	2	38	dz		e		w		I		
3453	𗐕	U+17415	L3448	L3448	pe	2pe4	I	37	2	33	p		e				IV		
3454	𗁄	U+17044	L3449	L3449	mo	2mo1	I	51	2	42	m		o				I		
3455	𗎴	U+173B4	L3450	L3450	ti	1ti4	III	11	1	11	t		i				IV		
3456	𗃉	U+170C9	L3451	L3451	ge	1ge'4	V	40	1	39	g		e			'	IV		
3457	𗂽	U+170BD	L3452	L3452	e	2e4	VIII	37	2	33	Ø		e				IV		
3458	𗢁	U+17881	L3453	L3453	hy	1hy1	VIII	28	1	27	h		y				I		
3459	𗆎	U+1718E	L3454	L3454	tshe	2tshe4	VI	37	2	33	tsh		e				IV		
3460	𗆻	U+171BB	L3455	L3455	a	0a?	VIII	?	0	?	Ø		a				?		
3461	𗄼	U+1713C	L3456	L3456	la	1la4	IX	20	1	20	l		a				IV		Grade IV l-!
3462	𗆧	U+171A7	L3457	L3457	siw	1siw4	VI	47	1	46	s		i		w		IV		
3463	𗆊	U+1718A	L3458	L3458	ka	1ka2	V	18	1	18	k		a				II		
3464	𗆉	U+17189	L3459	L3459	ko	1ko2	V	52	1	50	k		o				II		
3465	𗃈	U+170C8	L3460	L3460	swy	1swy4	VI	31	1	30	s	w	y				IV		
3466	𗂃	U+17083	L3461	L3461	chhwa	1chhwa'3	VII	21	1	21	chh	w	a			'	III		
3467	𗂒	U+17092	L3462	L3462	kwar	1kwar1	V	85	1	80	k	w	a	r			I		
3468	𗅰	U+17170	L3463	L3463	lwen	1lwen1	IX	41	1	40	l	w	e		n		I		
3469	𗆵	U+171B5	L3464	L3464	la	1la1	IX	17	1	17	l		a				I	L3476	
3470	𗁮	U+1706E	L3465	L3465	chhi	1chhi3	VII	10	1	10	chh		i				III		
3471	𗁛	U+1705B	L3466	L3466	la	2laq1	IX	66	2	56	l		a	q			I		
3472	𗂱	U+170B1	L3467	L3467	ly	1ly1	IX	28	1	27	l		y				I		
3473	𗃅	U+170C5	L3468	L3468	vir	1vir1	II	82	1	77	v		i	r			I		
3474	𗹬	U+17E6C	L3469	L3469	se	2se4	VI	37	2	33	s		e				IV		
3475	𗹟	U+17E5F	L3470	L3470	my	1my1	I	28	1	27	m		y				I		
3476	𗂳	U+170B3	L3471	L3471	chyr	2chyr'3	VII	100	2	85	ch		y	r		'	III		
3477	𗀸	U+17038	L3472	L3472	te	1te'1	III	38	1	37	t		e			'	I		
3478	𗂯	U+170AF	L3473	L3473	gar	2gar1	V	85	2	73	g		a	r			I		
3479	𗄶	U+17136	L3474	L3474	chhew	1chhew2	VII	45	1	44	chh		e		w		II		
3480	𗅤	U+17164	L3475	L3475	mar	2mar1	I	85	2	73	m		a	r			I		
3481	𗆴	U+171B4	L3476	L3476	la	1la1	IX	17	1	17	l		a				I		
3482	𗄵	U+17135	L3477	L3477	ghwen	1ghwen2	VIII	42	1	41	gh	w	e		n		II		
3483	𗆢	U+171A2	L3478	L3478	khwy	1khwy2	V	29	1	28	kh	w	y				II		
3484	𗆯	U+171AF	L3479	L3479	tshy	2tshy4	VI	31	2	28	tsh		y				IV		
3485	𗆶	U+171B6	L3480	L3480	rar	2rar4	IX	87	2	74	r		a	r			IV		
3486	𗹹	U+17E79	L3481	L3481	phe	1phe4	I	37	1	36	ph		e				IV		
3487	𗂴	U+170B4	L3482	L3482	chyr	1chyr'3	VII	100	1	92	ch		y	r		'	III		
3488	𗀳	U+17033	L3483	L3483	chyr	1chyr'3	VII	100	1	92	ch		y	r		'	III		
3489	𗀺	U+1703A	L3484	L3484	nyr	2nyr1	III	90	2	76	n		y	r			I		
3490	𗁅	U+17045	L3485	L3485	la	1laq1	IX	66	1	63	l		a	q			I		
3491	𗁃	U+17043	L3486	L3486	ku	1kuq4	V	62	1	59	k		u	q			IV		
3492	𗁊	U+1704A	L3487	L3487	ba	1baq4	I	67	1	64	b		a	q			IV		
3493	𗄴	U+17134	L3488	L3488	twi	2twi'1	III	12	2	11	t	w	i			'	I		
3494	𗄴	U+17134	L3489	L3489	ga	2ga'4	V	24	2	21	g		a			'	IV		
3495	𗅎	U+1714E	L3490	L3490	khwy	1khwy2	V	29	1	28	kh	w	y				II		
3496	𗅀	U+17140	L3491	L3491	rur	1rur4	IX	81	1	76	r		u	r			IV		
3497	𗅼	U+1717C	L3492	L3492	to	1toq4	III	75	1	72	t		o	q			IV		
3498	𗅣	U+17163	L3493	L3493	rur	1rur4	IX	81	1	76	r		u	r			IV		
3499	𗅿	U+1717F	L3494	L3494	dze	1dzeq4	VI	64	1	61	dz		e	q			IV		
3500	𗡽	U+1787D	L3495	L3495	chwen	2chwen2	VII	42	2	36	ch	w	e		n		II		
3501	𗂑	U+17091	L3496	L3496	kwar	1kwar1	V	85	1	80	k	w	a	r			I	L3462	
3502	𗄿	U+1713F	L3497	L3497	lu	2luq1	IX	61	2	51	l		u	q			I		
3503	𗅌	U+1714C	L3498	L3498	ghor	2ghor1	VIII	95	2	80	gh		o	r			I		
3504	𗡻	U+1787B	L3499	L3499	ly	1ly3	IX	30	1	29	l		y				III		
3505	𗆹	U+171B9	L3500	L3500	e	1e'4	VIII	40	1	39	Ø		e			'	IV		
3506	𗆼	U+171BC	L3501	L3501	ew	2ew4	VIII	46	2	40	Ø		e		w		IV		
3507	𗆰	U+171B0	L3502	L3502	la	1la4	IX	20	1	20	l		a				IV		Grade IV l-!
3508	𗆱	U+171B1	L3503	L3503	tha	2tha1	III	17	2	14	th		a				I		
3509	𗇁	U+171C1	L3504	L3504	shan	1shan3	VII	27	1	26	sh		a		n		III		
3510	𗅭	U+1716D	L3505	L3505	ngewr	1ngewr1	V	93	1	87	ng		e	r	w		I		
3511	𗁦	U+17066	L3506	L3506	be	1beq4	I	64	1	61	b		e	q			IV		
3512	𗃊	U+170CA	L3507	L3507	pho	1pho1	I	51	1	49	ph		o				I		
3513	𗂸	U+170B8	L3508	L3508	bi	2bi4	I	11	2	10	b		i				IV		
3514	𗂘	U+17098	L3509	L3509	ker	2ker'4	V	101	2	86	k		e	r		'	IV		
3515	𗃎	U+170CE	L3510	L3510	er	1er4	VIII	79	1	74	Ø		e	r			IV		
3516	𗃏	U+170CF	L3511	L3511	ko	2koq4	V	75	2	64	k		o	q			IV		
3517	𗹻	U+17E7B	L3512	L3512	dew	1dew1	III	44	1	43	d		e		w		I		
3518	𗹦	U+17E66	L3513	L3513	my	1my1	I	28	1	27	m		y				I		
3519	𗺃	U+17E83	L3514	L3514	ror	2ror4	IX	96	2	81	r		o	r			IV		
3520	𗃁	U+170C1	L3515	L3515	pha	2pha4	I	20	2	17	ph		a				IV		
3521	𗎩	U+173A9	L3516	L3516	ka	1ka2	V	18	1	18	k		a				II		
3522	𗅡	U+17161	L3517	L3517	khwy	1khwy2	V	29	1	28	kh	w	y				II		
3523	𗂕	U+17095	L3518	L3518	me	1me2	I	35	1	34	m		e				II		
3524	𗂏	U+1708F	L3519	L3519	u	1u3	VIII	2	1	2	Ø		u				III		Grade III Ø-!
3525	𗶰	U+17DB0	L3520	L3520	ne	2ne4	III	37	2	33	n		e				IV		
3526	𘝔	U+18754	L3521	L3521	shwu	1shwu3	VII	2	1	2	sh	w	u				III		
3527	𘝒	U+18752	L3522	L3522	shwu	1shwu3	VII	2	1	2	sh	w	u				III		
3528	𘉧	U+18267	L3523	L3523	ja	2ja'3	VII	21	2	18	j		a			'	III		
3529	𗌣	U+17323	L3524	L3524	gu	1gu4	V	3	1	3	g		u				IV		
3530	𘈉	U+18209	L3525	L3525	tshwu	1tshwu4	VI	3	1	3	tsh	w	u				IV		
3531	𗢦	U+178A6	L3526	L3526	gi	2gi4	V	11	2	10	g		i				IV		
3532	𗋸	U+172F8	L3527	L3527	ma	1ma4	I	20	1	20	m		a				IV		
3533	𘉼	U+1827C	L3528	L3528	tho	2tho'1	III	54	2	45	th		o			'	I		
3534	𗋹	U+172F9	L3529	L3529	no	2noq2	III	74	2	63	n		o	q			II		
3535	𘉸	U+18278	L3530	L3530	dyr	2dyr4	III	92	2	77	d		y	r			IV		
3536	𘉽	U+1827D	L3531	L3531	dzi	1dzi1	VI	8	1	8	dz		i				I		
3537	𘊎	U+1828E	L3532	L3532	phar	1phar4	I	87	1	82	ph		a	r			IV		
3538	𗋱	U+172F1	L3533	L3533	di	2di'4	III	14	2	12	d		i			'	IV		
3539	𗊠	U+172A0	L3534	L3534	ge	1ge4	V	37	1	36	g		e				IV		
3540	𗏈	U+173C8	L3535	L3535	ngwu	2ngwu1	V	1	2	1	ng	w	u				I		
3541	𗊘	U+17298	L3536	L3536	ghe	1ghe2	VIII	35	1	34	gh		e				II		
3542	𗌔	U+17314	L3537	L3537	thwan	2thwan1	III	25	2	22	th	w	a		n		I		
3543	𗇇	U+171C7	L3538	L3538	hwa	1hwa1	VIII	17	1	17	h	w	a				I		
3544	𗊐	U+17290	L3539	L3539	zyr	2zyr1	IX	90	2	76	z		y	r			I		
3545	𗊡	U+172A1	L3540	L3540	ha	1ha1	VIII	17	1	17	h		a				I		
3546	𗊞	U+1729E	L3541	L3541	gi	1gi4	V	11	1	11	g		i				IV		
3547	𗋤	U+172E4	L3542	L3542	zyr	2zyr'4	IX	100	2	85	z		y	r		'	IV		
3548	𘉨	U+18268	L3543	L3543	dzwy	1dzwy1	VI	28	1	27	dz	w	y				I		
3549	𗊝	U+1729D	L3544	L3544	ja	1ja'3	VII	21	1	21	j		a			'	III		
3550	𗢕	U+17895	L3545	L3545	lhyr	1lhyr'4	IX	100	1	92	lh		y	r		'	IV		
3551	𗏅	U+173C5	L3546	L3546	wy	1wy'4	VIII	33	1	32	Ø	w	y			'	IV		
3552	𗊮	U+172AE	L3547	L3547	la	2la2	IX	18	2	15	l		a				II		
3553	𗋴	U+172F4	L3548	L3548	?	0???	VI	?	0	?	?		?				?		
3554	𗌇	U+17307	L3549	L3549	ky	2kyq4	V	72	2	61	k		y	q			IV		
3555	𗋜	U+172DC	L3550	L3550	tsa	2tsa4	VI	20	2	17	ts		a				IV		
3556	𘊄	U+18284	L3551	L3551	non	2non2	IV	57	2	48	n		o		n		II		
3557	𘊁	U+18281	L3552	L3552	khew	2khew4	V	46	2	40	kh		e		w		IV		
3558	𗋳	U+172F3	L3553	L3553	kwan	1kwan1	V	25	1	24	k	w	a		n		I		
3559	𗃛	U+170DB	L3554	L3554	lon	1lon3	IX	58	1	56	l		o		n		III		
3560	𗌆	U+17306	L3555	L3555	shwe	2shwe3	VII	36	2	32	sh	w	e				III		
3561	𗌠	U+17320	L3556	L3556	na	2na'2	III	23	2	20	n		a			'	II		
3562	𗌩	U+17329	L3557	L3557	pen	2penq4	I	65	2	55	p		e	q	n		IV		
3563	𗐊	U+1740A	L3558	L3558	pen	2penq2	I	76	2	65	p		e	q	n		II		
3564	𗫹	U+17AF9	L3559	L3559	ghwy	1ghwy1	VIII	28	1	27	gh	w	y				I		
3565	𗫺	U+17AFA	L3560	L3560	tshwin	1tshwin4	VI	16	1	16	tsh	w	i		n		IV	L3619	
3566	𗬂	U+17B02	L3561	L3561	var	1var1	II	85	1	80	v		a	r			I		
3567	𗬅	U+17B05	L3562	L3562	ma	1ma'4	I	24	1	23	m		a			'	IV		
3568	𗬉	U+17B09	L3563	L3563	si	1si1	VI	8	1	8	s		i				I		
3569	𗬊	U+17B0A	L3564	L3564	ghwy	1ghwy1	VIII	28	1	27	gh	w	y				I		
3570	𗤤	U+17924	L3565	L3565	thu	1thu1	III	1	1	1	th		u				I		
3571	𗥡	U+17961	L3566	L3566	lu	2lu1	IX	1	2	1	l		u				I		
3572	𘊞	U+1829E	L3567	L3567	lu	2lu1	IX	1	2	1	l		u				I		
3573	𘊔	U+18294	L3568	L3568	j?n	0j?n?	VII	?	0	?	j		?		n		?		
3574	𗤣	U+17923	L3569	L3569	ma	1ma4	I	20	1	20	m		a				IV		
3575	𗤨	U+17928	L3570	L3570	ju	2ju3	VII	2	2	2	j		u				III		
3576	𗿑	U+17FD1	L3571	L3571	hwyr	1hwyr1	VIII	90	1	84	h	w	y	r			I		
3577	𘊟	U+1829F	L3572	L3572	ngwo	2ngwo1	V	51	2	42	ng	w	o				I		
3578	𗏟	U+173DF	L3573	L3573	lo	1lo1	IX	51	1	49	l		o				I		
3579	𗥤	U+17964	L3574	L3574	tse	2tse4	VI	37	2	33	ts		e				IV		
3580	𗨉	U+17A09	L3575	L3575	ni	2ni4	III	11	2	10	n		i				IV		
3581	𗩯	U+17A6F	L3576	L3576	swe	1swe4	VI	37	1	36	s	w	e				IV		
3582	𗪕	U+17A95	L3577	L3577	bi	2bi'4	I	14	2	12	b		i			'	IV		
3583	𗪫	U+17AAB	L3578	L3578	li	2liq3	IX	70	2	60	l		i	q			III		
3584	𗿂	U+17FC2	L3579	L3579	ke	2ke4	V	37	2	33	k		e				IV		
3585	𗦙	U+17999	L3580	L3580	si	1siq4	VI	70	1	67	s		i	q			IV		
3586	𗪪	U+17AAA	L3581	L3581	shwu	1shwu3	VII	2	1	2	sh	w	u				III		
3587	𗨊	U+17A0A	L3582	L3582	kyr	2kyr'4	V	100	2	85	k		y	r		'	IV		
3588	𗫂	U+17AC2	L3583	L3583	ta	1ta4	III	20	1	20	t		a				IV		
3589	𗽼	U+17F7C	L3584	L3584	lwi	2lwiq3	IX	70	2	60	l	w	i	q			III		
3590	𗻿	U+17EFF	L3585	L3585	swy	1swy4	VI	31	1	30	s	w	y				IV		
3591	𗩢	U+17A62	L3586	L3586	shwa	1shwa'3	VII	21	1	21	sh	w	a			'	III		
3592	𗪦	U+17AA6	L3587	L3587	pa	1pa2	I	18	1	18	p		a				II		
3593	𗫅	U+17AC5	L3588	L3588	new	1new1	III	44	1	43	n		e		w		I		
3594	𗿳	U+17FF3	L3589	L3589	dzen	1dzen4	VI	43	1	42	dz		e		n		IV		
3595	𗤡	U+17921	L3590	L3590	gi	1gi'4	V	14	1	14	g		i			'	IV		
3596	𗤬	U+1792C	L3591	L3591	ni	2ni'4	III	14	2	12	n		i			'	IV		
3597	𗧅	U+179C5	L3592	L3592	ghyr	1ghyr4	VIII	92	1	86	gh		y	r			IV		
3598	𗩡	U+17A61	L3593	L3593	ve	2ve3	II	36	2	32	v		e				III		
3599	𗫊	U+17ACA	L3594	L3594	by	1by1	I	28	1	27	b		y				I		
3600	𗨗	U+17A17	L3595	L3595	dzu	2dzu'1	VI	5	2	5	dz		u			'	I		
3601	𗫁	U+17AC1	L3596	L3596	wi	1wi2	VIII	9	1	9	Ø	w	i				II		
3602	𗬕	U+17B15	L3597	L3597	mer	2mer4	I	79	2	68	m		e	r			IV		
3603	𗨾	U+17A3E	L3598	L3598	he	2he1	VIII	34	2	30	h		e				I		
3604	𗪮	U+17AAE	L3599	L3599	mi	2mi'1	I	12	2	11	m		i			'	I		
3605	𗾤	U+17FA4	L3600	L3600	ghu	1ghu4	VIII	3	1	3	gh		u				IV		
3606	𗽭	U+17F6D	L3601	L3601	khew	2khew1	V	44	2	38	kh		e		w		I		
3607	𘔵	U+18535	L3602	L3602	kwy	1kwy'1	V	32	1	31	k	w	y			'	I		
3608	𗺴	U+17EB4	L3603	L3603	tho	1thoq1	III	73	1	70	th		o	q			I		
3609	𗻉	U+17EC9	L3604	L3604	lu	2lu1	IX	1	2	1	l		u				I		
3610	𗻌	U+17ECC	L3605	L3605	tshy	1tshy1	VI	28	1	27	tsh		y				I		
3611	𗦾	U+179BE	L3606	L3606	u	1u'4	VIII	7	1	7	Ø		u			'	IV		
3612	𗪼	U+17ABC	L3607	L3607	ten	2tenq4	III	65	2	55	t		e	q	n		IV		
3613	𗿴	U+17FF4	L3608	L3608	born	1born1	I	97	1	91	b		o	r	n		I		
3614	𗻦	U+17EE6	L3609	L3609	zin	2zin1	IX	15	2	13	z		i		n		I		
3615	𗻱	U+17EF1	L3610	L3610	tsewr	1tsewr1	VI	93	1	87	ts		e	r	w		I		
3616	𗩜	U+17A5C	L3611	L3611	tsir	1tsir1	VI	82	1	77	ts		i	r			I		
3617	𗿧	U+17FE7	L3612	L3612	tsy	1tsyq1	VI	71	1	68	ts		y	q			I		
3618	𗫨	U+17AE8	L3613	L3613	dwewr	2dwewr1	III	93	2	78	d	w	e	r	w		I		
3619	𗤷	U+17937	L3614	L3614	ka	1kaq1	V	66	1	63	k		a	q			I		
3620	𗧞	U+179DE	L3615	L3615	tsi	2tsi4	VI	11	2	10	ts		i				IV		
3621	𗪧	U+17AA7	L3616	L3616	shu	1shuq3	VII	62	1	59	sh		u	q			III		
3622	𗦃	U+17983	L3617	L3617	hwe	2hwe1	VIII	34	2	30	h	w	e				I		
3623	𗦽	U+179BD	L3618	L3618	na	1na1	III	17	1	17	n		a				I		
3624	𗢿	U+178BF	L3619	L3619	tshwin	1tshwin4	VI	16	1	16	tsh	w	i		n		IV		
3625	𗣨	U+178E8	L3620	L3620	the	1the4	III	37	1	36	th		e				IV		
3626	𗣬	U+178EC	L3621	L3621	vo	1vo3	II	53	1	51	v		o				III		
3627	𗤫	U+1792B	L3622	L3622	kyr	2kyr'4	V	100	2	85	k		y	r		'	IV		
3628	𗥬	U+1796C	L3623	L3623	e	1e4	VIII	37	1	36	Ø		e				IV		
3629	𗨐	U+17A10	L3624	L3624	pe	1pe1	I	34	1	33	p		e				I		
3630	𗾘	U+17F98	L3625	L3625	ve	2veq3	II	64	2	54	v		e	q			III		
3631	𗿈	U+17FC8	L3626	L3626	khe	2khe4	V	37	2	33	kh		e				IV		
3632	𗧶	U+179F6	L3627	L3627	ni	2ni4	III	11	2	10	n		i				IV		
3633	𗤩	U+17929	L3628	L3628	ghwan	1ghwan4	VIII	27	1	26	gh	w	a		n		IV		
3634	𗪑	U+17A91	L3629	L3629	khwar	1khwar4	V	87	1	82	kh	w	a	r			IV		
3635	𗣟	U+178DF	L3630	L3630	ver	1ver3	II	79	1	74	v		e	r			III		
3636	𗥆	U+17946	L3631	L3631	mer	2mer4	I	79	2	68	m		e	r			IV		
3637	𗽝	U+17F5D	L3632	L3632	kwa	1kwa2	V	18	1	18	k	w	a				II		
3638	𗿃	U+17FC3	L3633	L3633	dy	1dyq1	III	71	1	68	d		y	q			I		
3639	𗧫	U+179EB	L3634	L3634	pho	2pho2	I	52	2	43	ph		o				II		
3640	𗿕	U+17FD5	L3635	L3635	wu	2wuq1	VIII	61	2	51	Ø	w	u	q			I		
3641	𗥢	U+17962	L3636	L3636	ji	0jiq3	VII	70	0	?	j		i	q			III		
3642	𗩓	U+17A53	L3637	L3637	ew	1ew4	VIII	46	1	45	Ø		e		w		IV		
3643	𗪸	U+17AB8	L3638	L3638	rar	2rar1	IX	85	2	73	r		a	r			I		
3644	𗣀	U+178C0	L3639	L3639	rer	2rer4	IX	79	2	68	r		e	r			IV		
3645	𗣩	U+178E9	L3640	L3640	tha	2tha1	III	17	2	14	th		a				I		
3646	𗤟	U+1791F	L3641	L3641	tsir	1tsir4	VI	84	1	79	ts		i	r			IV		
3647	𗬓	U+17B13	L3642	L3642	tshwu	1tshwu4	VI	3	1	3	tsh	w	u				IV		
3648	𗥧	U+17967	L3643	L3643	khar	1khar4	V	87	1	82	kh		a	r			IV		
3649	𗧉	U+179C9	L3644	L3644	vi	2vi3	II	10	2	9	v		i				III		
3650	𗾌	U+17F8C	L3645	L3645	ver	1ver1	II	77	1	73	v		e	r			I		
3651	𗩛	U+17A5B	L3646	L3646	no	2no1	III	51	2	42	n		o				I		
3652	𗿨	U+17FE8	L3647	L3647	kwen	1kwen2	V	42	1	41	k	w	e		n		II		
3653	𗻜	U+17EDC	L3648	L3648	phe	2phe2	I	35	2	31	ph		e				II		
3654	𘊚	U+1829A	L3649	L3649	vi	1vi1	II	8	1	8	v		i				I		
3655	𗺜	U+17E9C	L3650	L3650	dzu	1dzuq4	VI	62	1	59	dz		u	q			IV		
3656	𗺦	U+17EA6	L3651	L3651	rur	1rur1	IX	80	1	75	r		u	r			I		
3657	𗫜	U+17ADC	L3652	L3652	ew	2ew4	VIII	46	2	40	Ø		e		w		IV		
3658	𗻙	U+17ED9	L3653	L3653	jon	1jon3	VII	58	1	56	j		o		n		III		
3659	𗥼	U+1797C	L3654	L3654	a	0a?	VIII	?	0	?	Ø		a				?		
3660	𗏓	U+173D3	L3655	L3655	li	2liq3	IX	70	2	60	l		i	q			III		
3661	𗨱	U+17A31	L3656	L3656	nu	2nu4	III	3	2	3	n		u				IV		
3662	𗿅	U+17FC5	L3657	L3657	y	1y4	VIII	31	1	30	Ø		y				IV		
3663	𗏯	U+173EF	L3658	L3658	pen	2penq2	I	76	2	65	p		e	q	n		II		
3664	𗧆	U+179C6	L3659	L3659	ta	1ta4	III	20	1	20	t		a				IV		
3665	𗨘	U+17A18	L3660	L3660	ba	2ba1	I	17	2	14	b		a				I		
3666	𗩦	U+17A66	L3661	L3661	ko	2ko1	V	51	2	42	k		o				I		
3667	𗨚	U+17A1A	L3662	L3662	kar	1kar'1	V	88	1	83	k		a	r		'	I		
3668	𗨏	U+17A0F	L3663	L3663	jon	1jon3	VII	58	1	56	j		o		n		III		
3669	𗬑	U+17B11	L3664	L3664	chy	1chy3	VII	30	1	29	ch		y				III		
3670	𗬔	U+17B14	L3665	L3665	lha	1lhaq4	IX	67	1	64	lh		a	q			IV		
3671	𗽞	U+17F5E	L3666	L3666	then	1then4	III	43	1	42	th		e		n		IV		
3672	𗽇	U+17F47	L3667	L3667	chha	1chha2	VII	18	1	18	chh		a				II		
3673	𗽈	U+17F48	L3668	L3668	li	1liq3	IX	70	1	67	l		i	q			III		
3674	𗽮	U+17F6E	L3669	L3669	na	1na1	III	17	1	17	n		a				I		
3675	𗾗	U+17F97	L3670	L3670	ha	2ha4	VIII	20	2	17	h		a				IV		
3676	𗾚	U+17F9A	L3671	L3671	ne	1ne4	III	37	1	36	n		e				IV		
3677	𗿛	U+17FDB	L3672	L3672	ban	1ban1	I	25	1	24	b		a		n		I		
3678	𗿉	U+17FC9	L3673	L3673	ghu	1ghu4	VIII	3	1	3	gh		u				IV		
3679	𗪌	U+17A8C	L3674	L3674	kwyr	1kwyr'4	V	100	1	92	k	w	y	r		'	IV		
3680	𗬜	U+17B1C	L3675	L3675	ko	1koq4	V	75	1	72	k		o	q			IV		
3681	𗤦	U+17926	L3676	L3676	shy	2shy2	VII	29	2	26	sh		y				II		
3682	𗥥	U+17965	L3677	L3677	rir	1rir4	IX	84	1	79	r		i	r			IV		
3683	𗧊	U+179CA	L3678	L3678	to	2to1	III	51	2	42	t		o				I		
3684	𗥖	U+17956	L3679	L3679	twy	1twy4	III	31	1	30	t	w	y				IV		
3685	𗦱	U+179B1	L3680	L3680	hwa	1hwa1	VIII	17	1	17	h	w	a				I		
3686	𗩊	U+17A4A	L3681	L3681	tsor	2tsor1	VI	95	2	80	ts		o	r			I		
3687	𗩋	U+17A4B	L3682	L3682	my	1my1	I	28	1	27	m		y				I		
3688	𗾥	U+17FA5	L3683	L3683	sa	2sa4	VI	20	2	17	s		a				IV		
3689	𗾥	U+17FA5	L3684	L3684	shi	2shi2	VII	9	2	8	sh		i				II		
3690	𗨂	U+17A02	L3685	L3685	en	1en4	VIII	43	1	42	Ø		e		n		IV		
3691	𗪡	U+17AA1	L3686	L3686	gwo	2gwo4	V	53	2	44	g	w	o				IV		
3692	𗩰	U+17A70	L3687	L3687	kwa	1kwa1	V	17	1	17	k	w	a				I		
3693	𗫠	U+17AE0	L3688	L3688	gwyr	1gwyr4	V	92	1	86	g	w	y	r			IV		
3694	𗽠	U+17F60	L3689	L3689	lu	1lu'1	IX	5	1	5	l		u			'	I		
3695	𗾺	U+17FBA	L3690	L3690	be	2be4	I	37	2	33	b		e				IV		
3696	𗤠	U+17920	L3691	L3691	var	1var1	II	85	1	80	v		a	r			I	L3561	
3697	𗫢	U+17AE2	L3692	L3692	by	1by1	I	28	1	27	b		y				I		
3698	𗦍	U+1798D	L3693	L3693	?	0???	III	?	0	?	?		?				?		
3699	𗿬	U+17FEC	L3694	L3694	kwy	1kwy4	V	31	1	30	k	w	y				IV		
3700	𗺷	U+17EB7	L3695	L3695	zur	2zur4	IX	81	2	70	z		u	r			IV		
3701	𗧣	U+179E3	L3696	L3696	na	1na1	III	17	1	17	n		a				I		
3702	𗪊	U+17A8A	L3697	L3697	bi	1bi4	I	11	1	11	b		i				IV		
3703	𗿍	U+17FCD	L3698	L3698	sha	1sha'3	VII	21	1	21	sh		a			'	III		
3704	𗻊	U+17ECA	L3699	L3699	do	2do1	III	51	2	42	d		o				I		
3705	𗻚	U+17EDA	L3700	L3700	no	2noq2	III	74	2	63	n		o	q			II		
3706	𗺮	U+17EAE	L3701	L3701	vi	2vi1	II	8	2	7	v		i				I		
3707	𗩬	U+17A6C	L3702	L3702	shi	2shi3	VII	10	2	9	sh		i				III		
3708	𗿸	U+17FF8	L3703	L3703	vi	2vi1	II	8	2	7	v		i				I		
3709	𗻰	U+17EF0	L3704	L3704	tshew	2tshew1	VI	44	2	38	tsh		e		w		I		
3710	𗻷	U+17EF7	L3705	L3705	thu	2thu1	III	1	2	1	th		u				I		
3711	𗏺	U+173FA	L3706	L3706	rer	2rer4	IX	79	2	68	r		e	r			IV		
3712	𗐀	U+17400	L3707	L3707	rer	2rer4	IX	79	2	68	r		e	r			IV		
3713	𗧤	U+179E4	L3708	L3708	pha	1pha4	I	20	1	20	ph		a				IV		
3714	𗿫	U+17FEB	L3709	L3709	kwy	1kwy4	V	31	1	30	k	w	y				IV		
3715	𗦄	U+17984	L3710	L3710	dir	2dir'1	III	99	2	84	d		i	r		'	I		
3716	𗫄	U+17AC4	L3711	L3711	dzwy	1dzwy4	VI	31	1	30	dz	w	y				IV		
3717	𗧛	U+179DB	L3712	L3712	ge	1geq4	V	64	1	61	g		e	q			IV		
3718	𗧟	U+179DF	L3713	L3713	zhy	1zhy'3	IX	33	1	32	zh		y			'	III		
3719	𗩗	U+17A57	L3714	L3714	dzen	1dzen4	VI	43	1	42	dz		e		n		IV		
