Sort	Tangraph	Unicode	LFW2008	LFW1997	Simple	Complex	Class	Rhyme	Tone	Subrhyme	Initial	Medial	Vowel	Cycle	Nasal/w	Prime	Grade	Variant	Notes
1563	𗹒	U+17E52	L1562	L1562	?	0???	?	?	0	?	?		?				?		
1564	𗳍	U+17CCD	L1563	L1563	so	2soq4	VI	75	2	64	s		o	q			IV		
1565	𗳉	U+17CC9	L1564	L1564	the	1the4	III	37	1	36	th		e				IV		
1566	𗳏	U+17CCF	L1565	L1565	then	1then4	III	43	1	42	th		e		n		IV		
1567	𘇭	U+181ED	L1566	L1566	swi	1swi4	VI	11	1	11	s	w	i				IV		
1568	𘈷	U+18237	L1567	L1567	gi	2gi4	V	11	2	10	g		i				IV		
1569	𘈸	U+18238	L1568	L1568	ror	1ror4	IX	96	1	90	r		o	r			IV		
1570	𗹐	U+17E50	L1569	L1569	twu	1twuq1	III	61	1	58	t	w	u	q			I		
1571	𗹖	U+17E56	L1570	L1570	lu	2lu1	IX	1	2	1	l		u				I		
1572	𗴄	U+17D04	L1571	L1571	yr	2yr4	VIII	92	2	77	Ø		y	r			IV		
1573	𗴂	U+17D02	L1572	L1572	phon	1phon2	I	57	1	55	ph		o		n		II		
1574	𘇯	U+181EF	L1573	L1573	ni	2ni'4	III	14	2	12	n		i			'	IV		
1575	𗹕	U+17E55	L1574	L1574	don	1don1	III	56	1	54	d		o		n		I		
1576	𗳿	U+17CFF	L1575	L1575	ka	2ka1	V	17	2	14	k		a				I		
1577	𗶦	U+17DA6	L1576	L1576	ka	2kaq1	V	66	2	56	k		a	q			I		
1578	𘞘	U+18798	L1577	L1577	ew	1ew'4	VIII	49	1	47	Ø		e		w	'	IV		
1579	𘞛	U+1879B	L1578	L1578	swy	1swy4	VI	31	1	30	s	w	y				IV		
1580	𘞾	U+187BE	L1579	L1579	by	1byq4	I	72	1	69	b		y	q			IV		
1581	𘝺	U+1877A	L1580	L1580	vu	2vuq3	II	62	2	52	v		u	q			III		
1582	𘟈	U+187C8	L1581	L1581	shy	2shy'3	VII	33	2	29	sh		y			'	III		
1583	𘞙	U+18799	L1582	L1582	ge	1geq4	V	64	1	61	g		e	q			IV		
1584	𘞜	U+1879C	L1583	L1583	thwan	2thwan1	III	25	2	22	th	w	a		n		I		
1585	𗃓	U+170D3	L1584	L1584	tew	1tew1	III	44	1	43	t		e		w		I		
1586	𗷣	U+17DE3	L1585	L1585	jwu	1jwu3	VII	2	1	2	j	w	u				III		
1587	𗙏	U+1764F	L1586	L1586	ghi	2ghiq2	VIII	69	2	59	gh		i	q			II		
1588	𗹅	U+17E45	L1587	L1587	khew	2khew4	V	46	2	40	kh		e		w		IV		
1589	𗎂	U+17382	L1588	L1588	cha	1cha3	VII	19	1	19	ch		a				III		
1590	𗘣	U+17623	L1589	L1589	wyr	1wyr4	VIII	92	1	86	Ø	w	y	r			IV		
1591	𗙱	U+17671	L1590	L1590	ky	1ky1	V	28	1	27	k		y				I		
1592	𗟹	U+177F9	L1591	L1591	ne	2ne4	III	37	2	33	n		e				IV		
1593	𘄃	U+18103	L1592	L1592	li	2liq3	IX	70	2	60	l		i	q			III		
1594	𗗢	U+175E2	L1593	L1593	the	1the4	III	37	1	36	th		e				IV		
1595	𗙅	U+17645	L1594	L1594	hyr	1hyr1	VIII	90	1	84	h		y	r			I		
1596	𗰦	U+17C26	L1595	L1595	lwo	1lwo1	IX	51	1	49	l	w	o				I		
1597	𗹋	U+17E4B	L1596	L1596	hwin	1hwin1	VIII	15	1	15	h	w	i		n		I		
1598	𗹌	U+17E4C	L1597	L1597	sy	2sy4	VI	31	2	28	s		y				IV		
1599	𘄂	U+18102	L1598	L1598	gi	1gi'4	V	14	1	14	g		i			'	IV		
1600	𘜘	U+18718	L1599	L1599	rir	1rir4	IX	84	1	79	r		i	r			IV		
1601	𘇡	U+181E1	L1600	L1600	thu	1thu1	III	1	1	1	th		u				I		
1602	𘙾	U+1867E	L1601	L1601	hon	1hon1	VIII	56	1	54	h		o		n		I		
1603	𘓳	U+184F3	L1602	L1602	ngorn	2ngorn1	V	97	2	82	ng		o	r	n		I		
1604	𘇎	U+181CE	L1603	L1603	na	0na?	IV	?	0	?	n		a				?		
1605	𘔭	U+1852D	L1604	L1604	dzen	1dzen4	VI	43	1	42	dz		e		n		IV		
1606	𗷩	U+17DE9	L1605	L1605	en	2en4	VIII	43	2	37	Ø		e		n		IV		
1607	𘆶	U+181B6	L1606	L1606	su	2su4	VI	3	2	3	s		u				IV		
1608	𘒽	U+184BD	L1607	L1607	khwar	1khwar4	V	87	1	82	kh	w	a	r			IV		
1609	𘙰	U+18670	L1608	L1608	lew	2lew1	IX	44	2	38	l		e		w		I		
1610	𘇍	U+181CD	L1609	L1609	wu	2wuq1	VIII	61	2	51	Ø	w	u	q			I		
1611	𘙨	U+18668	L1610	L1610	son	2son1	VI	56	2	47	s		o		n		I		
1612	𘜛	U+1871B	L1611	L1611	ghwe	1ghwe1	VIII	34	1	33	gh	w	e				I		
1613	𗗗	U+175D7	L1612	L1612	e	1e'4	VIII	40	1	39	Ø		e			'	IV		
1614	𗙦	U+17666	L1613	L1613	jin	1jin3	VII	16	1	16	j		i		n		III		
1615	𗠂	U+17802	L1614	L1614	rir	2rir1	IX	82	2	71	r		i	r			I		
1616	𗘝	U+1761D	L1615	L1615	lu	2lu1	IX	1	2	1	l		u				I		
1617	𘃽	U+180FD	L1616	L1616	o	2o1	VIII	51	2	42	Ø		o				I		
1618	𘜕	U+18715	L1617	L1617	kir	2kir4	V	84	2	72	k		i	r			IV		
1619	𘚃	U+18683	L1618	L1618	du	1duq4	III	62	1	59	d		u	q			IV		
1620	𗗝	U+175DD	L1619	L1619	e	1e'4	VIII	40	1	39	Ø		e			'	IV		
1621	𘘊	U+1860A	L1620	L1620	shwi	1shwi3	VII	10	1	10	sh	w	i				III		
1622	𘞟	U+1879F	L1621	L1621	dzwy	1dzwy4	VI	31	1	30	dz	w	y				IV		
1623	𘇘	U+181D8	L1622	L1622	len	2len4	IX	43	2	37	l		e		n		IV		
1624	𘓹	U+184F9	L1623	L1623	va	2vaq1	II	66	2	56	v		a	q			I		
1625	𘓮	U+184EE	L1624	L1624	rur	2rur1	IX	80	2	69	r		u	r			I		
1626	𗸥	U+17E25	L1625	L1625	tu	2tuq4	III	62	2	52	t		u	q			IV		
1627	𘇅	U+181C5	L1626	L1626	rer	1rer4	IX	79	1	74	r		e	r			IV		
1628	𗃑	U+170D1	L1627	L1627	tew	1tew1	III	44	1	43	t		e		w		I		
1629	𗌯	U+1732F	L1628	L1628	vi	2viq3	II	70	2	60	v		i	q			III		
