𓌪	1332a	T30	
𓌫	1332b	sSm T31	
𓌬	1332c	T32	
𓌮	1332e	T33	
𓌰	13330	nm T34	
𓌱	13331	T35	
𓌲	13332	T36	
𓌳	13333	mA U1	
𓌴	13334	U2	
𓌵	13335	U3	
𓌶	13336	U4	
𓌷	13337	U5	
𓌸	13338	mr U6	
𓌻	1333b	U7	
𓌼	1333c	U8	
𓌽	1333d	U9	
𓌾	1333e	it U10	
𓌿	1333f	HqAt U11	
𓍀	13340	U12	
𓍁	13341	hb U13	
𓍂	13342	U14	
𓍃	13343	tm U15	
𓍄	13344	biA U16	
𓍅	13345	grg U17	
𓍆	13346	U18	
𓍇	13347	U19	
𓍈	13348	U20	
𓍉	13349	stp U21	
𓍊	1334a	mnx U22	
𓍋	1334b	Ab U23	
𓍍	1334d	Hmt U24	
𓍎	1334e	U25	
𓍏	1334f	wbA U26	
𓍐	13350	U27	
𓍑	13351	DA U28	
𓍒	13352	U29	
𓍓	13353	U29a	
𓍔	13354	U30	
𓍕	13355	rtH U31	
𓍖	13356	zmn U32	
𓍘	13358	ti U33	
𓍙	13359	xsf U34	
𓍚	1335a	U35	
𓍛	1335b	Hm U36	
𓍜	1335c	U37	
𓍝	1335d	mxAt U38	
𓍞	1335e	U39	
𓍟	1335f	U40	
𓍠	13360	U41	
𓍡	13361	U42	
𓍢	13362	V1 100	
𓍣	13363	V1-V1	
𓍤	13364	V1-V1-V1	
𓍥	13365	V1-V1-V1-V1	
𓍦	13366	V1*V1*V1:V1*V1	
𓍧	13367	V1*V1*V1:V1*V1*V1	
𓍨	13368	V1*V1*V1*V1:V1*V1*V1	
𓍩	13369	V1*V1*V1*V1:V1*V1*V1*V1	
𓍪	1336a	V1*V1*V1*V1*V1:V1*V1*V1*V1	
𓍫	1336b	V1-V1-V1-V1-V1	
𓍬	1336c	sTA V2	
𓍮	1336e	sTAw V3	
𓍯	1336f	wA V4	
𓍰	13370	snT V5	
𓍱	13371	Ss V6	
𓍲	13372	Sn V7	
𓍵	13375	V8	
𓍶	13376	V9	
𓍷	13377	V10	
𓍸	13378	V11	
𓍹	13379	<1	
𓍺	1337a	2>	
𓍻	1337b	1>	
𓍼	1337c	arq V12	
𓍿	1337f	T V13	
𓎀	13380	V14	
𓎁	13381	iTi V15	
𓎂	13382	V16	
𓎃	13383	V17	
𓎄	13384	V18	
𓎅	13385	mDt V19	
𓎆	13386	mD V20 10	
𓎇	13387	V20:V20	
𓎈	13388	V20*V20:V20	
𓎉	13389	V20*V20:V20*V20	
𓎊	1338a	V20*V20*V20:V20*V20	
𓎋	1338b	V20*V20*V20:V20*V20*V20	
𓎌	1338c	V20*V20*V20*V20:V20*V20*V20	
𓎍	1338d	V20*V20*V20*V20:V20*V20*V20*V20	
𓎎	1338e	V20*V20*V20:V20*V20*V20:V20*V20*V20	
𓎏	1338f	V20-V20	
𓎐	13390	V20-V20-V20	
𓎑	13391	V20-V20-V20-V20	
𓎒	13392	V20-V20-V20-V20-V20	
𓎓	13393	V21	
𓎔	13394	mH V22	
𓎕	13395	V23	
𓎗	13397	wD V24	
𓎘	13398	V25	
𓎙	13399	aD V26	
𓎚	1339a	V27	
𓎛	1339b	H	
𓎜	1339c	V71	
𓎝	1339d	wAH V29	
𓎞	1339e	V81	
𓎟	1339f	nb V30	contextual rendering variant: U+133a0
𓎡	133a1	k V31	
𓎢	133a2	V31\	
𓎣	133a3	msn V32	
𓎤	133a4	sSr V33	
𓎦	133a6	V34	
𓎧	133a7	V35	
𓎨	133a8	V36	
𓎩	133a9	idr V37	
𓎫	133ab	V38	
𓎬	133ac	V39	
𓎭	133ad	V20h	
𓎮	133ae	V20h-V20h	
𓎯	133af	W1	
𓎰	133b0	bAs W2	
𓎱	133b1	Hb W3	contextual rendering variant: U+133b2
𓎳	133b3	W4	
𓎴	133b4	W5	
𓎵	133b5	W6	
𓎶	133b6	W7	
𓎷	133b7	W8	
𓎸	133b8	Xnm W9	
𓎹	133b9	W9\	
𓎺	133ba	iab W10	
𓎻	133bb	W10a	
𓎼	133bc	g W11	
𓎽	133bd	W12	
𓎾	133be	W13	
𓎿	133bf	Hz W14	
𓏀	133c0	H*W14:z	
𓏁	133c1	W15	
𓏂	133c2	W16	
𓏃	133c3	xnt W17	
𓏅	133c5	W18	
𓏇	133c7	mi W19	
𓏈	133c8	W20	
𓏉	133c9	W21	
𓏊	133ca	Hnqt W22	
𓏋	133cb	W23	
𓏌	133cc	nw W24	
