LFW,Simple,Complex,Class,Rhyme,Tone,Subrhyme,Initial,Medial,Vowel,Cycle,Nasal/w,Prime,Grade,Variant,Notes
L0303,je,0je?,VII,?,0,?,j,,e,,,,?,,
L0304,gha,1gha1,VIII,17,1,17,gh,,a,,,,I,,
L0305,lwu,2lwu4,IX,3,2,3,l,w,u,,,,IV,,Grade IV l-!
L0306,nir,2nir4,III,84,2,72,n,,i,r,,,IV,,
L0307,lhe,2lhe4,IX,37,2,33,lh,,e,,,,IV,,
L0308,lhi,2lhi4,IX,11,2,10,lh,,i,,,,IV,,
L0309,su,2su4,VI,3,2,3,s,,u,,,,IV,,
L0310,mu,2mu2,I,4,2,4,m,,u,,,,II,,
L0311,tshwy,1tshwy4,VI,31,1,30,tsh,w,y,,,,IV,,
L0312,ba,1baq4,I,67,1,64,b,,a,q,,,IV,,
L0313,rewr,2rewr1,IX,93,2,78,r,,e,r,w,,I,,
L0314,ke,2ke2,V,35,2,31,k,,e,,,,II,,
L0315,zi,2zi4,IX,11,2,10,z,,i,,,,IV,,
L0316,ha,1ha2,VIII,18,1,18,h,,a,,,,II,,
L0317,ne,2neq2,III,63,2,53,n,,e,q,,,II,,
L0318,tshwu,2tshwu4,VI,3,2,3,tsh,w,u,,,,IV,,
L0319,tshwu,1tshwu4,VI,3,1,3,tsh,w,u,,,,IV,,
L0320,vy,1vy'1,II,32,1,31,v,,y,,,',I,,
L0321,ghy,1ghy2,VIII,29,1,28,gh,,y,,,,II,,
L0322,chhwo,1chhwo3,VII,50,1,48,chh,w,o,,,,III,,
L0323,shar,1shar3,VII,87,1,82,sh,,a,r,,,III,,
L0324,vo,1voq3,II,75,1,72,v,,o,q,,,III,,
L0325,kir,2kir4,V,84,2,72,k,,i,r,,,IV,L1141,
L0326,khin,1khin4,V,16,1,16,kh,,i,,n,,IV,,
L0327,my,2my1,I,28,2,25,m,,y,,,,I,,
L0328,ku,2ku2,V,4,2,4,k,,u,,,,II,,
L0329,rir,2rir4,IX,84,2,72,r,,i,r,,,IV,,
L0330,me,1me'4,I,40,1,39,m,,e,,,',IV,,
L0331,lwa,1lwaq1,IX,66,1,63,l,w,a,q,,,I,,
L0332,ngwyr,1ngwyr1,V,90,1,84,ng,w,y,r,,,I,,
L0333,ngwir,2ngwir1,V,82,2,71,ng,w,i,r,,,I,,
L0334,khe,1khe4,V,37,1,36,kh,,e,,,,IV,,
L0335,pha,1pha4,I,20,1,20,ph,,a,,,,IV,,
L0336,gu,1gu1,V,1,1,1,g,,u,,,,I,,
L0337,dy,2dy4,III,31,2,28,d,,y,,,,IV,,
L0338,ly,1ly3,IX,30,1,29,l,,y,,,,III,,
L0339,ja,1ja'3,VII,21,1,21,j,,a,,,',III,,
L0340,len,1len3,IX,43,1,42,l,,e,,n,,III,,
L0341,zwew,1zwew1,IX,44,1,43,z,w,e,,w,,I,,
L0342,dzy,1dzy4,VI,31,1,30,dz,,y,,,,IV,,
L0343,ghan,1ghan2,VIII,26,1,25,gh,,a,,n,,II,,
L0344,khu,1khu1,V,1,1,1,kh,,u,,,,I,,
L0345,lwa,1lwa4,IX,20,1,20,l,w,a,,,,IV,,Grade IV l-!
L0346,sha,2sha3,VII,19,2,16,sh,,a,,,,III,,
L0347,khy,1khy1,V,28,1,27,kh,,y,,,,I,,
L0348,bi,2bi'1,I,12,2,11,b,,i,,,',I,,
L0349,ly,2ly'3,IX,33,2,29,l,,y,,,',III,,
L0350,phu,2phu1,I,1,2,1,ph,,u,,,,I,,
L0351,ku,1kuq4,V,62,1,59,k,,u,q,,,IV,,
L0352,jo,2jo2,VII,52,2,43,j,,o,,,,II,,
L0353,jy,1jy4,VII,31,1,30,j,,y,,,,IV,,Grade IV j-!
L0354,lhi,2lhi4,IX,11,2,10,lh,,i,,,,IV,,
L0355,mu,1mu4,I,3,1,3,m,,u,,,,IV,,
L0356,she,1she3,VII,36,1,35,sh,,e,,,,III,,
L0357,la,1la'3,IX,24,1,23,l,,a,,,',III,,
